Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected
ARI,2000,50.0,97.88591169609505,7,-47.88591169609505
ARI,2001,133.0,140.6757121252301,8,-7.675712125230092
ARI,2002,34.0,96.57294200719147,7,-62.57294200719147
ARI,2003,147.0,104.50908639826591,6,42.49091360173409
ARI,2004,251.0,116.74274185087671,7,134.2572581491233
ARI,2005,58.0,105.34186204235323,7,-47.34186204235323
ARI,2006,59.0,86.47483831378446,5,-27.47483831378446
ARI,2007,64.0,75.1601958657218,4,-11.160195865721803
ARI,2008,114.0,85.48247180467779,6,28.517528195322214
ARI,2009,56.0,55.56455977621184,5,0.43544022378816294
ARI,2010,82.0,79.38052339165861,6,2.6194766083413867
ARI,2011,129.0,107.34506813057882,7,21.654931869421176
ARI,2012,63.0,74.87955255647316,6,-11.879552556473158
ARI,2013,92.0,114.56300758833433,8,-22.56300758833433
ARI,2014,63.0,76.62110723497572,5,-13.621107234975725
ARI,2015,130.0,74.41342397226954,5,55.58657602773046
ARI,2016,17.0,52.050369658305534,4,-35.050369658305534
ARI,2017,78.0,84.93884291254226,6,-6.938842912542256
ARI,2018,55.0,77.5107650523871,5,-22.5107650523871
ARI,2019,121.0,139.36909452519347,9,-18.369094525193475
ARI,2020,50.0,75.68809495904571,5,-25.688094959045713
ARI,2021,51.0,66.49363445035777,5,-15.493634450357774
ARI,2022,33.0,63.14187218014782,7,-30.14187218014782
ARI,2023,47.0,125.03650821112197,9,-78.03650821112197
ATL,2000,42.0,62.0775232934074,5,-20.077523293407403
ATL,2001,170.0,119.10559869682017,8,50.89440130317983
ATL,2002,46.0,80.67634003108331,7,-34.67634003108331
ATL,2003,19.0,34.356080974157756,3,-15.356080974157756
ATL,2004,94.0,98.73743643451097,6,-4.737436434510968
ATL,2005,184.0,82.51522826229532,7,101.48477173770468
ATL,2006,33.0,51.47387135367303,4,-18.473871353673033
ATL,2007,145.0,134.5689289486192,10,10.431071051380798
ATL,2008,296.0,154.38102813529272,9,141.61897186470728
ATL,2009,79.0,86.97200990123342,7,-7.97200990123342
ATL,2010,67.0,88.88328378072679,7,-21.883283780726785
ATL,2011,140.0,70.37764405238217,5,69.62235594761783
ATL,2012,34.0,57.41261410351022,6,-23.412614103510222
ATL,2013,86.0,83.64215520942844,8,2.357844790571562
ATL,2014,152.0,107.67716716024917,7,44.32283283975083
ATL,2015,125.0,90.35108529079376,5,34.64891470920624
ATL,2016,113.0,77.21026810741701,5,35.78973189258299
ATL,2017,40.0,55.86792430470244,4,-15.867924304702441
ATL,2018,79.0,76.98123384213014,6,2.0187661578698624
ATL,2019,93.0,88.93767194282853,6,4.06232805717147
ATL,2020,62.0,86.94845175820362,6,-24.948451758203618
ATL,2021,82.0,128.43640571281287,9,-46.43640571281287
ATL,2022,70.0,115.19620294919551,7,-45.19620294919551
ATL,2023,42.0,91.30488124815415,6,-49.304881248154146
BAL,2000,132.0,92.52213384953706,4,39.477866150462944
BAL,2001,96.0,68.51493342053374,5,27.485066579466263
BAL,2002,161.0,96.60855995615171,9,64.39144004384829
BAL,2003,192.0,118.21513451768955,8,73.78486548231045
BAL,2004,25.0,51.122997147097635,5,-26.122997147097635
BAL,2005,55.0,82.79788094903242,6,-27.797880949032418
BAL,2006,171.0,101.4331099793404,8,69.5668900206596
BAL,2007,139.0,83.86040546052232,7,55.139594539477685
BAL,2008,175.0,118.7126323544123,9,56.28736764558769
BAL,2009,77.0,65.11921442044319,4,11.880785579556814
BAL,2010,57.0,86.25240931793056,7,-29.252409317930557
BAL,2011,95.0,92.70495800826903,8,2.295041991730969
BAL,2012,71.0,86.56996838308778,7,-15.569968383087783
BAL,2013,105.0,92.07945042690133,8,12.920549573098668
BAL,2014,109.0,104.84620632272936,8,4.153793677270642
BAL,2015,49.0,98.46523405820855,8,-49.46523405820855
BAL,2016,130.0,139.70674749046364,10,-9.706747490463641
BAL,2017,115.0,91.40576912700678,6,23.594230872993222
BAL,2018,230.0,117.21265804310445,9,112.78734195689555
BAL,2019,67.0,90.72950602146274,7,-23.72950602146274
BAL,2020,151.0,121.3172364966617,10,29.682763503338293
BAL,2021,57.0,95.1531059698966,7,-38.1531059698966
BAL,2022,93.0,148.41365064084596,10,-55.41365064084596
BAL,2023,36.0,60.56218281518469,5,-24.56218281518469
BUF,2000,24.0,88.56732828061136,8,-64.56732828061136
BUF,2001,178.0,133.43346232910199,11,44.566537670898015
BUF,2002,99.0,116.71569839273025,8,-17.715698392730246
BUF,2003,147.0,98.36487481380513,8,48.63512518619487
BUF,2004,76.0,93.40844192186495,6,-17.40844192186495
BUF,2005,26.0,49.84246635350291,4,-23.842466353502907
BUF,2006,154.0,121.26785907778816,9,32.73214092221184
BUF,2007,53.0,88.92911387357874,6,-35.92911387357874
BUF,2008,79.0,105.26875430533563,8,-26.268754305335634
BUF,2009,107.0,124.64294774051217,8,-17.64294774051217
BUF,2010,53.0,108.8839226589343,8,-55.883922658934296
BUF,2011,97.0,126.28624283335,8,-29.286242833350002
BUF,2012,75.0,101.45424133324313,7,-26.454241333243132
BUF,2013,51.0,107.95896525764536,7,-56.95896525764536
BUF,2014,70.0,93.34254185547339,6,-23.342541855473385
BUF,2015,37.0,58.63966386619401,6,-21.639663866194013
BUF,2016,26.0,64.05193077218644,5,-38.05193077218644
BUF,2017,178.0,82.79886746775189,6,95.20113253224811
BUF,2018,190.0,103.26562172646719,6,86.73437827353281
BUF,2019,113.0,98.68440501360789,7,14.315594986392114
BUF,2020,74.0,52.522312511938175,5,21.477687488061825
BUF,2021,79.0,71.9314630377138,6,7.068536962286203
BUF,2022,89.0,75.16838652735015,6,13.831613472649849
BUF,2023,36.0,54.32441657313808,3,-18.32441657313808
CAR,2000,60.0,87.9871218873411,7,-27.987121887341104
CAR,2001,189.0,99.72138015895642,7,89.27861984104358
CAR,2002,141.0,104.9742230912113,5,36.0257769087887
CAR,2003,106.0,106.07699585335777,7,-0.07699585335777215
CAR,2004,114.0,71.7086946075934,6,42.2913053924066
CAR,2005,110.0,77.78547423716377,5,32.21452576283623
CAR,2006,111.0,82.44740418691707,7,28.55259581308293
CAR,2007,179.0,106.48768316424879,8,72.51231683575121
CAR,2008,125.0,117.76715918373264,9,7.232840816267355
CAR,2009,46.0,53.28482908825936,4,-7.284829088259357
CAR,2010,60.0,72.98376971839586,9,-12.983769718395862
CAR,2011,117.0,107.7751804520924,6,9.2248195479076
CAR,2012,146.0,97.90376067013561,7,48.09623932986439
CAR,2013,78.0,57.721135719069686,3,20.278864280930314
CAR,2014,92.0,71.93498011036269,5,20.065019889637313
CAR,2015,92.0,71.5065015171362,5,20.4934984828638
CAR,2016,36.0,62.967502795887896,4,-26.967502795887896
CAR,2017,107.0,85.88844068863267,5,21.11155931136733
CAR,2018,90.0,90.38282531792166,7,-0.3828253179216574
CAR,2019,49.0,86.58496149277946,6,-37.584961492779456
CAR,2020,91.0,104.30812211803865,7,-13.308122118038654
CAR,2021,70.0,119.11801711671107,9,-49.11801711671107
CAR,2022,28.0,60.39102191391469,4,-32.39102191391469
CAR,2023,26.0,107.40310653225222,5,-81.40310653225222
CHI,2000,225.0,104.49465448784534,7,120.50534551215466
CHI,2001,44.0,80.15342189599552,4,-36.15342189599552
CHI,2002,90.0,92.27409207857707,8,-2.2740920785770697
CHI,2003,233.0,157.42444681526933,12,75.57555318473067
CHI,2004,112.0,99.68919267080877,7,12.310807329191235
CHI,2005,50.0,94.31324330723594,6,-44.313243307235936
CHI,2006,90.0,77.15888640342324,6,12.841113596576761
CHI,2007,49.0,65.97446647120692,6,-16.974466471206924
CHI,2008,144.0,114.16602557755742,9,29.83397442244258
CHI,2009,63.0,70.63222462079094,7,-7.632224620790936
CHI,2010,46.0,40.82818592181129,4,5.17181407818871
CHI,2011,40.0,60.13738558843755,4,-20.137385588437553
CHI,2012,49.0,64.24368359054048,4,-15.243683590540485
CHI,2013,71.0,74.84609534274966,6,-3.8460953427496634
CHI,2014,114.0,93.19249097953812,7,20.80750902046188
CHI,2015,65.0,99.10921236474758,6,-34.10921236474758
CHI,2016,122.0,117.85193577781273,9,4.148064222187273
CHI,2017,102.0,87.76114839388781,4,14.238851606112192
CHI,2018,93.0,98.1675359708961,6,-5.167535970896097
CHI,2019,30.0,31.120064583076637,3,-1.120064583076637
CHI,2020,92.0,71.79604651182329,7,20.203953488176708
CHI,2021,76.0,80.59113098979955,7,-4.591130989799552
CHI,2022,61.0,94.42818424676568,10,-33.42818424676568
CHI,2023,53.0,121.0723119360196,8,-68.0723119360196
CIN,2000,53.0,113.6370955905526,7,-60.637095590552605
CIN,2001,207.0,113.04329646018707,7,93.95670353981293
CIN,2002,51.0,86.74799902910503,5,-35.74799902910503
CIN,2003,112.0,136.2345637334207,8,-24.234563733420714
CIN,2004,125.0,125.91739529771326,9,-0.9173952977132558
CIN,2005,58.0,82.4288403536125,6,-24.4288403536125
CIN,2006,155.0,86.19273103323326,7,68.80726896676674
CIN,2007,70.0,47.36191661860135,4,22.63808338139865
CIN,2008,66.0,106.86331275741895,7,-40.86331275741895
CIN,2009,170.0,123.39223892153338,9,46.60776107846662
CIN,2010,180.0,90.4117329773114,6,89.5882670226886
CIN,2011,199.0,107.35178721373492,6,91.64821278626508
CIN,2012,122.0,122.48782637869418,8,-0.4878263786941801
CIN,2013,95.0,108.3041866460778,8,-13.304186646077795
CIN,2014,74.0,85.00313798275971,7,-11.00313798275971
CIN,2015,49.0,99.5033152131366,8,-50.5033152131366
CIN,2016,103.0,84.7738297631087,7,18.226170236891306
CIN,2017,87.0,113.87882843429816,9,-26.878828434298157
CIN,2018,95.0,103.60851975330053,8,-8.608519753300527
CIN,2019,91.0,103.35601037734585,7,-12.356010377345854
CIN,2020,151.0,123.70593288185637,7,27.29406711814363
CIN,2021,80.0,125.5857892550876,9,-45.585789255087604
CIN,2022,56.0,73.33284110166142,6,-17.332841101661415
CIN,2023,38.0,86.23759661683242,8,-48.23759661683242
CLE,2000,75.0,159.38970994544596,10,-84.38970994544596
CLE,2001,85.0,111.7030023621681,7,-26.703002362168107
CLE,2002,102.0,110.0052561387086,8,-8.005256138708603
CLE,2003,66.0,86.37355354782777,6,-20.37355354782777
CLE,2004,41.0,80.83003183259034,5,-39.830031832590336
CLE,2005,58.0,109.04568743846046,6,-51.04568743846046
CLE,2006,86.0,117.16968570623445,9,-31.169685706234446
CLE,2007,124.0,100.39222043851777,5,23.607779561482232
CLE,2008,35.0,34.670118606558674,4,0.32988139344132605
CLE,2009,57.0,95.3097121368165,5,-38.3097121368165
CLE,2010,92.0,107.00605032025437,6,-15.006050320254374
CLE,2011,91.0,108.54382405266533,8,-17.54382405266533
CLE,2012,74.0,148.49934136570684,10,-74.49934136570684
CLE,2013,16.0,63.009499576130395,4,-47.009499576130395
CLE,2014,107.0,119.52490655996884,6,-12.52490655996884
CLE,2015,55.0,133.156822314738,9,-78.15682231473801
CLE,2016,97.0,168.43320282834057,13,-71.43320282834057
CLE,2017,155.0,150.24651928902435,8,4.753480710975651
CLE,2018,145.0,180.11174519943268,8,-35.111745199432676
CLE,2019,46.0,66.53189834812746,6,-20.531898348127456
CLE,2020,95.0,103.57672124572657,7,-8.576721245726574
CLE,2021,60.0,98.06424371078135,8,-38.064243710781355
CLE,2022,35.0,83.80899138395938,8,-48.80899138395938
CLE,2023,19.0,73.81430865124297,7,-54.81430865124297
DAL,2000,31.0,51.409346895050966,5,-20.409346895050966
DAL,2001,53.0,90.31352686058533,9,-37.31352686058533
DAL,2002,139.0,111.1979317503995,7,27.802068249600495
DAL,2003,194.0,93.50158239584873,5,100.49841760415127
DAL,2004,64.0,54.19394502022287,5,9.80605497977713
DAL,2005,245.0,109.99241272532333,7,135.00758727467667
DAL,2006,39.0,83.39972690184862,6,-44.399726901848624
DAL,2007,103.0,70.32868494101727,7,32.67131505898273
DAL,2008,86.0,86.07216404947958,5,-0.0721640494795821
